course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_date,subject
513244,Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2024],https://www.udemy.com/course/datascience/,2799.99,220599,34301,217,All Levels,4.5939765,21.5,2015-05-28,Data Science
1988542,Kubernetes Certified Application Developer (CKAD) with Tests,https://www.udemy.com/course/certified-kubernetes-application-developer/,1699.99,219415,34243,185,All Levels,4.71837,15.5,2018-10-25,Certified Kubernetes Application Developer (CKAD)
3792262,The Git & Github Bootcamp,https://www.udemy.com/course/git-and-github-bootcamp/,1699.99,167350,34109,189,Beginner Level,4.7430077,17.0,2021-01-21,Git
1248866,Alteryx Bootcamp,https://www.udemy.com/course/alteryx-bootcamp/,1399.99,89385,34029,95,Beginner Level,4.5972157,6.5,2017-06-10,Alteryx
671576,"Machine Learning, Data Science and Generative AI with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,2299.99,220968,33727,147,Beginner Level,4.6076226,20.5,2015-11-16,Data Science
1581488,Complete C# Masterclass,https://www.udemy.com/course/complete-csharp-masterclass/,1299.99,150843,32426,461,All Levels,4.629306,45.0,2018-03-05,C#
2125112,The Complete 2024 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/,1699.99,169774,32197,391,Beginner Level,4.558101,37.0,2019-01-03,Software Testing
221674,"Git Complete: The definitive, step-by-step guide to Git",https://www.udemy.com/course/git-complete/,1299.99,147513,32111,85,All Levels,4.474857,6.5,2014-05-18,Git
2508942,JavaScript - The Complete Guide 2024 (Beginner + Advanced),https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,2199.99,163425,30858,617,All Levels,4.6666436,52.5,2019-08-14,JavaScript
3490000,Docker & Kubernetes: The Practical Guide [2024 Edition],https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,1899.99,208363,30647,264,All Levels,4.7297573,23.5,2020-09-10,Docker
461160,Learn and Understand NodeJS,https://www.udemy.com/course/understand-nodejs/,2299.99,133128,30177,97,All Levels,4.5643506,13.0,2015-03-28,Node.Js
1350984,The Modern Python 3 Bootcamp,https://www.udemy.com/course/the-modern-python3-bootcamp/,2999.99,119866,30114,376,Beginner Level,4.6817827,30.0,2017-09-14,Python
459948,Microsoft SQL for Beginners,https://www.udemy.com/course/microsoft-sql-for-beginners/,899.99,114918,30015,39,Beginner Level,4.5131474,4.0,2015-03-26,Microsoft SQL
827692,The Complete Java Certification Course,https://www.udemy.com/course/master-practical-java-development/,1499.99,106505,29313,65,All Levels,4.4665422,17.5,2016-04-21,Java
1406344,JavaScript Algorithms and Data Structures Masterclass,https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,2999.99,158804,29170,249,All Levels,4.6827855,22.0,2017-10-24,Algorithms
913448,Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,2299.99,167350,29102,73,All Levels,4.6218157,11.0,2016-07-24,Python
2365628,"Complete React Developer (w/ Redux, Hooks, GraphQL)",https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,1699.99,137214,28660,346,All Levels,4.4910355,42.0,2019-05-13,React JS
951618,The Complete Android N Developer Course,https://www.udemy.com/course/complete-android-n-developer-course/,1599.99,157090,28628,272,All Levels,3.8752172,32.5,2016-09-06,Android Development
1672380,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,https://www.udemy.com/course/cpp-deep-dive/,1299.99,93350,28110,279,All Levels,4.57743,30.5,2018-05-02,C++
1247828,The Complete Angular Course: Beginner to Advanced,https://www.udemy.com/course/the-complete-angular-master-class/,2499.99,117407,27700,376,All Levels,4.2666535,29.5,2017-06-09,Angular
1466612,Ethereum and Solidity: The Complete Developer's Guide,https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,1699.99,151291,27475,268,All Levels,4.59066,24.0,2017-12-11,Ethereum
2153774,Modern HTML & CSS From The Beginning 2.0 (2024 Revamp),https://www.udemy.com/course/modern-html-css-from-the-beginning/,2999.99,89389,27366,200,All Levels,4.733165,24.5,2019-01-15,CSS
1386294,Python for beginners,https://www.udemy.com/course/python-core-and-advanced/,1899.99,260974,26580,334,All Levels,4.495775,15.5,2017-10-08,Python
1672410,"Node.js, Express, MongoDB & More: The Complete Bootcamp",https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,1899.99,157891,26217,229,All Levels,4.625658,42.0,2018-05-02,Node.Js
4967038,GitHub Copilot Beginner to Pro - AI for Coding & Development,https://www.udemy.com/course/github-copilot/,549.99,70070,26137,58,All Levels,4.5232544,6.0,2022-11-08,GitHub
1906852,MongoDB - The Complete Developer's Guide 2024,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,2999.99,184734,25957,266,All Levels,4.6509557,17.5,2018-09-11,MongoDB
1010586,Become a WordPress Developer: Unlocking Power With Code,https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,1299.99,118190,25616,234,All Levels,4.7055454,46.0,2016-11-13,WordPress
131816,The Agile Samurai Bootcamp,https://www.udemy.com/course/the-agile-samurai-bootcamp/,1499.99,68235,25609,34,All Levels,4.4251666,3.0,2013-12-10,Agile
2511476,"Complete A.I. & Machine Learning, Data Science Bootcamp",https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,2099.99,135227,24983,384,All Levels,4.578143,44.0,2019-08-15,Data Science
405282,PHP for Beginners - Become a PHP Master - CMS Project,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,1699.99,127074,24957,332,All Levels,4.5297546,40.5,2015-01-27,PHP
980798,Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,2799.99,139977,24935,67,Intermediate Level,4.492975,10.5,2016-10-10,PySpark
833442,Angular & NodeJS - The MEAN Stack Guide [2024 Edition],https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,2399.99,129419,24920,152,All Levels,4.4828353,12.5,2016-04-27,Node.Js
221696,Git Going Fast: One Hour Git Crash Course,https://www.udemy.com/course/git-going-fast/,799.99,132428,24568,33,Beginner Level,4.386616,1.5,2014-05-18,Git
2462140,Learn JAVA Programming - Beginner to Master,https://www.udemy.com/course/java-se-programming/,1699.99,107650,24512,333,All Levels,4.5344934,61.5,2019-07-16,Java
770336,"Understanding Jira for users, managers and admins",https://www.udemy.com/course/introduction-to-jira/,399.99,79039,24374,68,All Levels,4.5824947,7.0,2016-02-22,JIRA
2167814,Java Spring Framework 6 with Spring Boot 3,https://www.udemy.com/course/spring-5-with-spring-boot-2/,1499.99,180348,24129,405,All Levels,4.569089,46.0,2019-01-22,Spring Framework
882826,The Complete Python Programming Course: Beginner to Advanced,https://www.udemy.com/course/python-complete/,599.99,577520,23878,147,All Levels,4.1866107,18.0,2016-06-20,Python
1455016,Build an app with ASPNET Core and Angular from scratch,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/,1899.99,111142,23869,263,Beginner Level,4.5811706,32.0,2017-12-01,ASP.NET
970600,REST APIs with Flask and Python in 2024,https://www.udemy.com/course/rest-api-flask-and-python/,1699.99,135325,23569,132,Intermediate Level,4.616048,12.5,2016-09-28,Python
932344,Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,2499.99,206810,23481,141,All Levels,4.712534,19.5,2016-08-16,Pandas
356030,C# Advanced Topics: Prepare for Technical Interviews,https://www.udemy.com/course/csharp-advanced/,1099.99,130048,23465,21,Intermediate Level,4.445496,3.0,2014-11-25,C#
693188,Complete Guide to Elasticsearch,https://www.udemy.com/course/elasticsearch-complete-guide/,1299.99,140965,23440,132,All Levels,4.6217713,13.0,2015-12-09,Elasticsearch
358540,Java In-Depth: Become a Complete Java Engineer!,https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,1599.99,132059,23378,400,All Levels,4.5269537,73.5,2014-11-28,Java
1286908,The Complete React Developer Course (w/ Hooks and Redux),https://www.udemy.com/course/react-2nd-edition/,2199.99,87318,23371,200,Beginner Level,4.61603,39.0,2017-07-10,React JS
2792118,Machine Learning for Absolute Beginners - Level 1,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,1299.99,97067,23174,59,Beginner Level,4.4770136,4.5,2020-02-02,Machine Learning
642102,Learn How To Code: Google's Go (golang) Programming Language,https://www.udemy.com/course/learn-how-to-code/,1299.99,153679,22958,301,All Levels,4.547048,29.0,2015-10-16,Go (programming language)
3611296,Clean Code,https://www.udemy.com/course/writing-clean-code/,1899.99,101668,22242,96,Intermediate Level,4.5850115,6.5,2020-11-03,Software Practices
